AutomaticWeatherStation_en,AutomaticWeatherStation_sc,AutomaticWeatherStation_uc,Data_url,gml_id,GeometryLongitude,GeometryLatitude
Chek Lap Kok,赤鱲角,赤鱲角,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_0.csv,latest_1min_temperature.0,113.92194440000003,22.309444400000075
Cheung Chau,长洲,長洲,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_1.csv,latest_1min_temperature.1,114.02666670000008,22.20111110000005
Clear Water Bay,清水湾,清水灣,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_2.csv,latest_1min_temperature.2,114.29972220000002,22.263333300000056
Happy Valley,跑马地,跑馬地,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_3.csv,latest_1min_temperature.3,114.18361110000001,22.270555600000023
HK Observatory,天文台,天文台,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_4.csv,latest_1min_temperature.4,114.17416670000011,22.301944400000025
HK Park,香港公园,香港公園,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_5.csv,latest_1min_temperature.5,114.16222220000009,22.278333300000043
Kai Tak Runway Park,启德跑道公园,啟德跑道公園,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_6.csv,latest_1min_temperature.6,114.2169444000001,22.30472220000007
Kau Sai Chau,滘西洲,滘西洲,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_7.csv,latest_1min_temperature.7,114.31250000000011,22.370277800000054
King's Park,京士柏,京士柏,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_8.csv,latest_1min_temperature.8,114.17277780000006,22.311944400000073
Kowloon City,九龙城,九龍城,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_9.csv,latest_1min_temperature.9,114.18472220000001,22.335000000000036
Kwun Tong,观塘,觀塘,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_10.csv,latest_1min_temperature.10,114.22472220000009,22.318611100000055
Lau Fau Shan,流浮山,流浮山,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_11.csv,latest_1min_temperature.11,113.98361110000008,22.468888900000024
Ngong Ping,昂坪,昂坪,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_12.csv,latest_1min_temperature.12,113.91277780000007,22.258611100000053
Pak Tam Chung,北潭涌,北潭涌,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_13.csv,latest_1min_temperature.13,114.32305560000009,22.402777800000024
Peng Chau,坪洲,坪洲,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_14.csv,latest_1min_temperature.14,114.04333330000009,22.291111100000023
Sai Kung,西贡,西貢,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_15.csv,latest_1min_temperature.15,114.2744444000001,22.37555560000004
Sha Tin,沙田,沙田,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_16.csv,latest_1min_temperature.16,114.21000000000004,22.402500000000032
Sham Shui Po,深水埗,深水埗,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_17.csv,latest_1min_temperature.17,114.13694440000006,22.335833300000047
Shau Kei Wan,筲箕湾,筲箕灣,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_18.csv,latest_1min_temperature.18,114.23611110000002,22.281666700000073
Shek Kong,石岗,石崗,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_19.csv,latest_1min_temperature.19,114.0847222000001,22.436111100000062
Sheung Shui,上水,上水,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_20.csv,latest_1min_temperature.20,114.11111110000002,22.50194440000007
Stanley,赤柱,赤柱,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_21.csv,latest_1min_temperature.21,114.21861110000009,22.214166700000078
Ta Kwu Ling,打鼓岭,打鼓嶺,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_22.csv,latest_1min_temperature.22,114.15666670000007,22.528611100000035
Tai Lung,大陇,大隴,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_23.csv,latest_1min_temperature.23,114.11750000000006,22.48472220000008
Tai Mei Tuk,大美督,大美督,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_24.csv,latest_1min_temperature.24,114.23750000000007,22.47527780000007
Tai Mo Shan,大帽山,大帽山,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_25.csv,latest_1min_temperature.25,114.12444440000002,22.410555600000066
Tai Po,大埔,大埔,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_26.csv,latest_1min_temperature.26,114.17888890000006,22.446111100000053
Tate's Cairn,大老山,大老山,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_27.csv,latest_1min_temperature.27,114.21777780000002,22.357777800000065
The Peak,山顶,山頂,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_28.csv,latest_1min_temperature.28,114.15500000000009,22.264166700000033
Tseung Kwan O,将军澳,將軍澳,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_29.csv,latest_1min_temperature.29,114.2555556000001,22.315833300000065
Tsing Yi,青衣,青衣,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_30.csv,latest_1min_temperature.30,114.11000000000001,22.344166700000073
Tsuen Wan Ho Koon,荃湾可观,荃灣可觀,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_31.csv,latest_1min_temperature.31,114.10777780000001,22.383611100000053
Tsuen Wan Shing Mun Valley,荃湾城门谷,荃灣城門谷,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_32.csv,latest_1min_temperature.32,114.1266667000001,22.37555560000004
Tuen Mun,屯门,屯門,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_33.csv,latest_1min_temperature.33,113.96416670000008,22.38583330000006
Waglan Island,横澜岛,橫瀾島,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_34.csv,latest_1min_temperature.34,114.30333330000008,22.18222220000007
Wetland Park,湿地公园,濕地公園,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_35.csv,latest_1min_temperature.35,114.0088889000001,22.466666700000076
Wong Chuk Hang,黄竹坑,黃竹坑,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_36.csv,latest_1min_temperature.36,114.17361110000002,22.24777780000005
Wong Tai Sin,黄大仙,黃大仙,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_37.csv,latest_1min_temperature.37,114.20527780000009,22.339444400000048
Yuen Long Park,元朗公园,元朗公園,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/latest_1min_temperature_csdi_38.csv,latest_1min_temperature.38,114.01833330000011,22.440833300000065
